B_ID,B_Name,B__Round1_Strikes_Body Significant Strikes_Landed,B__Round1_Strikes_Clinch Significant Strikes_Landed,B__Round1_Strikes_Ground Significant Strikes_Landed,B__Round1_Strikes_Head Significant Strikes_Landed,B__Round1_Strikes_Legs Significant Strikes_Landed,B__Round1_Strikes_Significant Strikes_Landed,B__Round2_Strikes_Body Significant Strikes_Landed,B__Round2_Strikes_Clinch Significant Strikes_Landed,B__Round2_Strikes_Ground Significant Strikes_Landed,B__Round2_Strikes_Head Significant Strikes_Landed,B__Round2_Strikes_Legs Significant Strikes_Landed,B__Round2_Strikes_Significant Strikes_Landed,B__Round3_Strikes_Body Significant Strikes_Landed,B__Round3_Strikes_Clinch Significant Strikes_Landed,B__Round3_Strikes_Ground Significant Strikes_Landed,B__Round3_Strikes_Head Significant Strikes_Landed,B__Round3_Strikes_Legs Significant Strikes_Landed,B__Round3_Strikes_Significant Strikes_Landed,Date,Event_ID,Fight_ID,Last_round,Max_round,R_ID,R_Name,R__Round1_Strikes_Body Significant Strikes_Landed,R__Round1_Strikes_Clinch Significant Strikes_Landed,R__Round1_Strikes_Ground Significant Strikes_Landed,R__Round1_Strikes_Head Significant Strikes_Landed,R__Round1_Strikes_Legs Significant Strikes_Landed,R__Round1_Strikes_Significant Strikes_Landed,R__Round2_Strikes_Body Significant Strikes_Landed,R__Round2_Strikes_Clinch Significant Strikes_Landed,R__Round2_Strikes_Ground Significant Strikes_Landed,R__Round2_Strikes_Head Significant Strikes_Landed,R__Round2_Strikes_Legs Significant Strikes_Landed,R__Round2_Strikes_Significant Strikes_Landed,R__Round3_Strikes_Body Significant Strikes_Landed,R__Round3_Strikes_Clinch Significant Strikes_Landed,R__Round3_Strikes_Ground Significant Strikes_Landed,R__Round3_Strikes_Head Significant Strikes_Landed,R__Round3_Strikes_Legs Significant Strikes_Landed,R__Round3_Strikes_Significant Strikes_Landed,winby,winner
2924,Aleksandar Rakic,1,0,0,5,5,11,3,1,0,12,5,20,6,1,0,5,4,15,7/23/18,875,7268,3,3,2788,Justin Ledet,0,2,1,61,0,61,3,1,0,49,0,52,0,0,0,39,0,39,DEC,blue
2490,Bartosz Fabinski,8,12,7,9,3,20,9,10,4,11,1,21,7,17,2,15,3,25,7/23/18,875,7286,3,3,2777,Emil Meek,6,1,2,11,4,21,8,1,20,20,4,32,10,3,9,14,3,27,DEC,blue
2758,Damir Hadzovic,10,7,3,22,1,33,2,1,0,1,0,3,6,4,1,3,0,9,7/23/18,875,7299,3,3,2207,Nick Hein,10,3,2,30,3,43,10,2,0,40,7,57,11,3,0,66,19,96,DEC,blue
3159,David Zawada,,,,,,,,,,,,,,,,,,,7/23/18,875,7313,3,3,2656,Danny Roberts,13,8,1,24,15,52,19,20,1,48,11,78,6,3,10,34,6,46,DEC,red
3025,Liu Pingyuan,,,,,,,,,,,,,,,,,,,7/23/18,875,7315,3,3,2504,Damian Stasiak,7,3,3,25,6,38,8,0,3,29,6,43,6,1,1,23,3,32,,blue
3057,Manny Bermudez,0,0,3,4,0,4,0,0,3,8,0,8,,,,,,,7/23/18,875,7359,1,3,2137,Davey Grant,5,3,14,14,10,29,17,25,9,39,2,58,3,1,3,16,2,21,SUB,blue
3060,Nad Narimani,,,,,,,,,,,,,,,,,,,7/23/18,875,7360,3,3,3149,Khalid Taha,,,,,,,,,,,,,,,,,,,DEC,blue
545,Jeremy Stephens,19,10,10,63,54,136,29,25,14,130,57,216,29,7,23,117,29,175,7/30/18,876,7249,1,3,1052,Jose Aldo,26,6,10,69,8,103,24,0,0,74,18,116,9,4,0,83,11,103,KO/TKO,red
2785,Katlyn Chookagian,19,2,0,30,17,66,24,6,0,27,17,68,19,8,2,65,22,106,8/2/18,876,7250,3,3,1839,Alexis Davis,12,18,16,42,17,71,15,7,8,29,17,61,10,5,6,22,20,52,DEC,blue
2328,Nina Ansaroff,23,19,5,78,23,124,18,4,10,53,28,99,22,14,6,43,18,83,8/2/18,876,7251,3,3,2350,Randa Markos,11,35,40,95,27,133,8,3,21,82,8,98,9,18,7,82,14,105,DEC,blue
2578,Matheus Nicolau,21,1,14,33,10,64,20,0,2,35,11,66,17,0,11,23,4,44,7/28/18,876,7252,1,3,1504,Dustin Ortiz,49,35,38,54,14,117,40,35,42,82,17,139,23,31,65,109,13,145,KO/TKO,red
2765,Ion Cutelaba,19,16,17,53,6,78,13,10,5,34,8,55,6,8,0,29,5,40,7/29/18,876,7253,1,3,2829,Gadzhimurad Antigulov,0,0,1,1,1,2,,,,,,,,,,,,,KO/TKO,blue
2926,Austin Arnett,6,1,0,45,0,51,11,6,0,30,1,42,6,2,0,38,0,44,7/29/18,876,7254,3,3,3056,Hakeem Dawodu,0,0,0,1,2,3,,,,,,,,,,,,,DEC,red
2737,Alex Morono,9,1,3,37,18,64,11,9,0,62,13,86,7,14,4,85,2,94,7/29/18,876,7255,3,3,1867,Jordan Mein,21,11,14,79,28,128,5,1,14,31,18,54,3,2,9,24,5,32,DEC,red
875,Ross Pearson,52,13,0,57,42,151,57,9,9,89,37,183,79,32,3,78,29,186,7/28/18,876,7256,3,3,1675,John Makdessi,48,10,15,73,41,162,54,7,0,55,39,148,50,5,2,54,22,126,DEC,red
2466,Islam Makhachev,7,8,9,30,2,39,8,1,13,21,0,29,4,0,20,22,0,26,7/30/18,876,7257,1,3,2231,Kajan Johnson,22,5,1,23,14,59,11,6,39,54,12,77,5,3,5,19,5,29,SUB,blue
2340,Tecia Torres,38,44,2,136,31,205,28,17,14,73,24,125,38,12,17,125,33,196,7/29/18,876,7262,3,3,2280,Joanna Jedrzejczyk,47,41,11,82,69,198,77,71,3,163,64,304,69,35,1,132,73,274,DEC,red
2223,Olivier Aubin-Mercier,26,30,14,84,19,129,23,8,21,88,7,118,7,6,3,19,8,34,7/29/18,876,7283,3,3,3058,Alexander Hernandez,3,0,2,5,0,8,,,,,,,,,,,,,DEC,red
2703,Alvaro Herrera,2,1,1,12,1,15,1,2,0,2,0,3,,,,,,,7/28/18,876,7358,1,3,2841,Devin Powell,6,3,3,4,7,17,4,5,5,9,8,21,5,3,4,9,13,27,KO/TKO,red
2931,Terrion Ware,16,5,3,39,13,68,19,8,7,73,8,100,9,3,0,48,8,65,10/8/18,878,7399,3,3,3020,Merab Dvalishvili,6,8,2,21,5,32,7,12,0,36,7,50,5,6,0,19,2,26,DEC,red
2076,Nikita Krylov,48,68,26,110,32,190,6,6,19,24,2,32,,,,,,,10/8/18,878,7400,2,3,2300,Jan Blachowicz,43,35,21,117,18,178,30,31,19,105,7,142,26,6,29,86,4,116,SUB,red
